trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.8, 'e': 0.0005408328826392645}",20,0,29.339708372261246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.8, 'e': 0.0005165289256198347}",30,14,33.38662763134585,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.0004938271604938272}",25,11,23.446556841357943,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.0004725897920604915}",20,12,15.149404477822081,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.0004526935264825713}",20,0,30.52436617182267,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.8, 'e': 0.00043402777777777775}",35,18,36.06279811874525,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.8, 'e': 0.00041649312786339027}",20,10,12.33603499581008,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.0004}",20,9,18.869647990776606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.00038446751249519417}",25,5,30.609706090222694,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.0003698224852071006}",20,12,13.997771922821018,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.000355998576005696}",25,11,28.648122668430844,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.8, 'e': 0.0003429355281207133}",20,10,23.888235072829353,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.00033057851239669424}",20,6,21.877491348209823,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.8, 'e': 0.00031887755102040814}",25,16,17.674015774454542,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.8, 'e': 0.0003077870113881194}",25,11,23.751948668949417,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.00029726516052318666}",20,16,7.967135009929273,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.0002872737719046251}",20,11,18.544577792472765,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.0002777777777777778}",25,15,16.865304436235693,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.8, 'e': 0.0002687449610319806}",20,8,21.50311119628337,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.00026014568158168577}",25,0,36.22021486878788,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.8, 'e': 0.0002519526329050139}",25,10,30.76148454274982,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.000244140625}",25,7,32.90466793741592,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.00023668639053254438}",25,13,21.911534794192846,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.0002295684113865932}",20,13,12.026168596330026,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.00022276676319893073}",20,10,20.03258837780065,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.00021626297577854672}",20,0,9.301640601053043,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
69,False,"{'a': 0.8, 'e': 0.00021003990758244065}",20,10,17.91919785114783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.00020408163265306123}",30,17,25.82947626056126,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.8, 'e': 0.00019837333862328903}",30,13,33.9072827243037,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.8, 'e': 0.00019290123456790122}",25,13,23.013203476793485,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.00018765246762994934}",30,18,23.06734481455824,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.8, 'e': 0.00018261504747991235}",20,13,12.502722622282683,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.00017777777777777779}",25,20,9.037456788568841,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.00017313019390581717}",20,10,22.511216443880958,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.00016866250632484398}",25,13,24.296146194533133,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.0001643655489809336}",20,8,21.161144663478424,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.0001602307322544464}",30,13,31.233172872559035,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.00015625}",30,16,22.609238355070453,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.00015241579027587258}",35,18,11.381402925349494,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.8, 'e': 0.000148720999405116}",25,14,23.436236884594873,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.8, 'e': 0.00014515894904920887}",25,18,14.064151334926056,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.8, 'e': 0.0001417233560090703}",20,13,12.542635242382817,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.0001384083044982699}",25,8,34.33956498326512,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.00013520822065981613}",25,11,24.720497726413683,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.8, 'e': 0.0001321178491214163}",25,8,30.59808695904944,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.8, 'e': 0.00012913223140495868}",25,0,35.307940925482406,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.8, 'e': 0.00012624668602449185}",20,14,11.880036374487302,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.8, 'e': 0.0001234567901234568}",30,17,23.827110966639584,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.8, 'e': 0.00012075836251660427}",25,11,28.403946356522535,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.00011814744801512288}",25,13,24.072339558593615,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.8, 'e': 0.00011562030292519366}",25,17,14.175026816233796,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.00011317338162064282}",25,17,15.569330656184357,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.8, 'e': 0.00011080332409972299}",20,15,11.231848723415988,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.8, 'e': 0.00010850694444444444}",20,8,23.235480844282797,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.00010628122010840685}",25,0,38.15121509662981,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.8, 'e': 0.00010412328196584757}",20,12,13.184203979722126,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.8, 'e': 0.00010203040506070809}",30,12,29.855051810117097,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.0001}",30,13,32.47304076082465,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.8, 'e': 9.802960494069208e-05}",30,0,46.8740773624944,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.8, 'e': 9.611687812379854e-05}",35,20,28.295731430574506,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.8, 'e': 9.425959091337543e-05}",20,0,34.90776036716784,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.8, 'e': 9.245562130177515e-05}",35,12,44.42933738016789,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.8, 'e': 9.070294784580499e-05}",25,4,29.642572059843936,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
